log_id,treatment_date,cost,garage_name,repair_description,worker_id,license_plate
2000110,2025-01-01,2750,Collins Russo and Alvarez Garage,Massive Data,10316,29-821-224
2000111,2026-01-07,1831,Cruz Smith and Merritt Garage,Massive Data,10096,17-656-327
2000112,2024-01-03,4263,Jennings Davis and Manning Garage,Massive Data,10322,15-979-412
2000113,2024-11-24,4422,Shaw LLC Garage,Massive Data,10142,11-849-319
2000114,2024-05-28,3538,Anthony Ltd Garage,Massive Data,10213,13-203-125
2000115,2023-07-22,2904,Snyder and Sons Garage,Massive Data,10037,94-941-322
2000116,2024-08-26,567,Jarvis-Turner Garage,Massive Data,10119,65-535-305
2000117,2025-11-17,2341,Stafford Robertson and Wright Garage,Massive Data,10415,58-115-359
2000118,2026-02-25,3812,Davis PLC Garage,Massive Data,10179,10-376-289
2000119,2023-06-26,1888,Davis PLC Garage,Massive Data,10255,87-746-449
2000120,2024-04-18,3512,Carter-Daugherty Garage,Massive Data,10255,50-441-96
2000121,2024-06-27,2793,Farley Group Garage,Massive Data,10121,44-413-432
2000122,2025-03-31,1214,Brooks Ross and Clark Garage,Massive Data,10130,87-297-329
2000123,2023-07-16,3354,Arellano-Price Garage,Massive Data,10125,92-498-363
2000124,2025-02-24,4864,Thomas-Roach Garage,Massive Data,10186,90-292-336
2000125,2023-05-28,3846,Adams Dean and Thomas Garage,Massive Data,10503,85-575-351
2000126,2023-06-18,1849,Garza Group Garage,Massive Data,10193,99-379-494
2000127,2025-05-23,376,Murphy Group Garage,Massive Data,10380,96-414-301
2000128,2025-09-25,1713,Carpenter-Mccormick Garage,Massive Data,10342,16-347-380
2000129,2025-07-29,4408,Jones Williams and Moore Garage,Massive Data,10080,76-919-398
2000130,2023-09-05,4971,Barry-Rosales Garage,Massive Data,10274,73-585-162
2000131,2023-08-12,4784,Cole Morales and Simmons Garage,Massive Data,10229,90-762-281
2000132,2024-11-13,4059,Cooper Lozano and Allen Garage,Massive Data,10411,83-182-250
2000133,2025-04-09,2972,Hoffman Mendez and Kelly Garage,Massive Data,10076,39-986-182
2000134,2025-09-19,4625,Scott-Harrington Garage,Massive Data,10313,31-773-106
2000135,2023-05-05,2651,Sanders-Sandoval Garage,Massive Data,10137,34-709-306
2000136,2024-10-18,4820,Elliott Mcdonald and Williams Garage,Massive Data,10192,75-592-216
2000137,2025-03-05,2401,Williams-Bowen Garage,Massive Data,10140,67-401-26
2000138,2024-12-17,4156,Johnson PLC Garage,Massive Data,10321,31-773-106
2000139,2026-03-11,3131,Moreno-Johnson Garage,Massive Data,10157,80-415-498
2000140,2024-08-23,4943,Ellis Owen and Hale Garage,Massive Data,10175,73-892-249
2000141,2023-09-19,303,Ware-Decker Garage,Massive Data,10200,87-316-270
2000142,2023-11-20,1319,Moore Gibbs and Watson Garage,Massive Data,10180,28-891-126
2000143,2025-04-24,1332,Burns Brock and Patterson Garage,Massive Data,10389,80-505-383
2000144,2024-08-20,4718,Huff Beck and Logan Garage,Massive Data,10117,23-645-103
2000145,2024-07-27,3843,Harding Davis and Ho Garage,Massive Data,10159,86-403-223
2000146,2025-02-12,162,Frederick Joseph and Nunez Garage,Massive Data,10457,83-464-436
2000147,2025-12-03,4152,Snyder-Ortiz Garage,Massive Data,10249,35-680-220
2000148,2025-04-08,158,Williams Ltd Garage,Massive Data,10336,50-441-96
2000149,2024-06-28,4792,Todd Garner and White Garage,Massive Data,10089,93-388-245
2000150,2023-11-20,973,Estes Ross and Sanchez Garage,Massive Data,10136,93-964-16
2000151,2024-07-24,3543,Nichols Bell and Scott Garage,Massive Data,10121,88-918-461
2000152,2025-11-30,3919,Sanchez and Sons Garage,Massive Data,10274,21-192-27
2000153,2023-08-20,529,Tate PLC Garage,Massive Data,10089,21-755-259
2000154,2024-05-29,3187,Lutz PLC Garage,Massive Data,10224,74-513-368
2000155,2023-09-03,3649,Romero-Armstrong Garage,Massive Data,10008,23-518-122
2000156,2025-03-18,4846,Lawson Frazier and Edwards Garage,Massive Data,10486,52-522-366
2000157,2024-02-13,2009,Kelly PLC Garage,Massive Data,10060,72-482-342
2000158,2025-07-14,659,Jackson Hart and Collins Garage,Massive Data,10339,93-426-361
2000159,2023-07-17,4839,Huff Ray and Stuart Garage,Massive Data,10296,71-159-184
2000160,2024-09-16,4896,Garrett Group Garage,Massive Data,10390,21-828-157
2000161,2024-03-31,3531,Guerra PLC Garage,Massive Data,10272,77-833-311
2000162,2023-04-05,2310,Holland Miller and Freeman Garage,Massive Data,10005,11-583-228
2000163,2024-07-20,1669,Webb-Rodriguez Garage,Massive Data,10316,25-900-413
2000164,2024-05-13,2395,Pitts-Gonzalez Garage,Massive Data,10421,18-415-55
2000165,2024-01-29,2247,Mclean Johnson and Delgado Garage,Massive Data,10235,33-964-161
2000166,2023-05-23,511,Schultz PLC Garage,Massive Data,10366,83-503-80
2000167,2025-07-28,4951,Whitehead-Simmons Garage,Massive Data,10247,40-280-158
2000168,2024-10-11,4452,Benitez Norman and White Garage,Massive Data,10258,26-816-147
2000169,2023-12-31,165,Taylor Inc Garage,Massive Data,10276,47-234-415
2000170,2023-06-18,4421,Faulkner LLC Garage,Massive Data,10260,45-988-111
2000171,2024-06-15,4970,Stein-Walls Garage,Massive Data,10109,89-417-128
2000172,2023-04-21,2478,Davis-Ibarra Garage,Massive Data,10337,73-892-249
2000173,2025-06-18,728,Holmes Mitchell and Love Garage,Massive Data,10392,94-806-192
2000174,2023-09-12,2643,Frazier Ross and Wolfe Garage,Massive Data,10150,96-143-335
2000175,2024-07-02,1966,Caldwell-Lambert Garage,Massive Data,10417,64-810-467
2000176,2024-08-26,1132,Walls-Harper Garage,Massive Data,10375,10-399-120
2000177,2026-01-19,3824,Velazquez Perkins and Arellano Garage,Massive Data,10205,42-993-447
2000178,2026-01-28,3718,Gonzalez Young and Gonzalez Garage,Massive Data,10163,57-762-325
2000179,2024-11-05,2763,Fox-Watkins Garage,Massive Data,10266,11-478-52
2000180,2024-09-11,569,Johnson-Pierce Garage,Massive Data,10238,60-136-34
2000181,2025-05-23,4892,Petty-Fuller Garage,Massive Data,10338,59-568-477
2000182,2024-01-17,3767,Kidd Adams and Williams Garage,Massive Data,10060,39-584-44
2000183,2024-12-17,3949,Cruz Martin and Gentry Garage,Massive Data,10369,10-636-190
2000184,2024-01-20,4355,Gonzalez PLC Garage,Massive Data,10243,45-372-349
2000185,2024-11-22,1679,Rojas and Sons Garage,Massive Data,10461,84-359-168
2000186,2025-12-27,2405,Bean Group Garage,Massive Data,10444,76-852-94
2000187,2024-12-30,3789,Schneider-Martin Garage,Massive Data,10497,25-900-413
2000188,2025-05-03,115,Mahoney Ltd Garage,Massive Data,10121,88-496-196
2000189,2023-05-03,1411,Barnett LLC Garage,Massive Data,10286,83-464-436
2000190,2025-04-12,2583,Moore Zuniga and Pruitt Garage,Massive Data,10020,35-680-220
2000191,2025-01-29,4839,Schmidt-Blair Garage,Massive Data,10074,91-228-290
2000192,2026-01-12,794,Day Robertson and Santos Garage,Massive Data,10378,89-371-47
2000193,2024-10-07,1006,Alvarado Gutierrez and James Garage,Massive Data,10192,51-877-389
2000194,2025-05-28,3537,Camacho PLC Garage,Massive Data,10452,75-134-167
2000195,2023-11-04,1389,Sanders-Miller Garage,Massive Data,10110,57-770-19
2000196,2024-07-05,3447,Jackson Stone and Bennett Garage,Massive Data,10439,87-746-449
2000197,2024-03-02,4690,Reese-Carr Garage,Massive Data,10418,15-319-43
2000198,2024-10-07,849,Wallace Evans and Trujillo Garage,Massive Data,10175,43-161-353
2000199,2024-07-04,2177,Sanchez Ltd Garage,Massive Data,10019,76-852-94
2000200,2025-06-10,684,Ballard Group Garage,Massive Data,10259,52-577-239
2000201,2024-09-21,992,Gibson Ltd Garage,Massive Data,10261,85-224-252
2000202,2024-09-04,1999,Wallace-Archer Garage,Massive Data,10100,48-647-92
2000203,2025-05-04,3930,Williams Ltd Garage,Massive Data,10135,77-658-490
2000204,2024-07-25,1129,Braun Robles and Aguilar Garage,Massive Data,10188,55-543-499
2000205,2025-09-19,1982,Ramsey-Walker Garage,Massive Data,10354,11-525-200
2000206,2024-09-21,4684,Hunter Ltd Garage,Massive Data,10155,20-747-61
2000207,2025-07-07,1473,Diaz-Wood Garage,Massive Data,10119,14-123-116
2000208,2025-12-16,3906,Jones Inc Garage,Massive Data,10388,11-433-434
2000209,2025-02-06,2466,Durham Group Garage,Massive Data,10107,36-529-472
2000210,2023-09-04,2575,Carlson Ltd Garage,Massive Data,10024,70-995-492
2000211,2023-08-30,4040,Garcia-Hogan Garage,Massive Data,10006,47-706-273
2000212,2025-04-30,615,Greer-Baker Garage,Massive Data,10173,90-292-336
2000213,2023-12-23,830,Brennan and Sons Garage,Massive Data,10463,67-697-396
2000214,2024-03-17,2474,Davis-Fisher Garage,Massive Data,10332,74-207-463
2000215,2025-07-05,836,Hines and Sons Garage,Massive Data,10135,47-706-273
2000216,2024-02-12,2434,Wright-Chan Garage,Massive Data,10446,66-837-365
2000217,2023-11-27,2798,Hull Nelson and Dean Garage,Massive Data,10233,81-847-440
2000218,2023-05-01,4907,Nelson-Trevino Garage,Massive Data,10072,76-919-398
2000219,2025-01-18,2842,Brown-Lane Garage,Massive Data,10063,82-947-211
2000220,2023-07-20,1256,Russell-Sanchez Garage,Massive Data,10136,22-185-295
2000221,2023-12-04,1636,Warren Ltd Garage,Massive Data,10008,96-763-86
2000222,2025-11-19,2316,Cook LLC Garage,Massive Data,10114,16-201-133
2000223,2024-07-28,197,Mcdonald Coleman and Esparza Garage,Massive Data,10096,11-658-230
2000224,2026-02-23,4539,Adams Group Garage,Massive Data,10146,29-224-131
2000225,2025-03-20,1106,Moore-Figueroa Garage,Massive Data,10445,90-205-374
2000226,2025-08-18,2014,Rivera Williams and Vaughn Garage,Massive Data,10223,90-762-281
2000227,2025-02-23,1451,Duncan-Wilson Garage,Massive Data,10039,39-612-218
2000228,2023-10-16,3885,Jones-Morse Garage,Massive Data,10278,58-315-155
2000229,2023-12-23,4485,Stephens-Smith Garage,Massive Data,10308,99-379-494
2000230,2024-11-27,1623,Wilkinson-Perry Garage,Massive Data,10152,39-584-44
2000231,2023-06-22,3551,Cordova-Allen Garage,Massive Data,10354,18-407-114
2000232,2025-03-16,4223,Hopkins Davis and Benton Garage,Massive Data,10407,38-287-89
2000233,2024-08-12,2681,Salinas Edwards and Roberts Garage,Massive Data,10346,67-370-378
2000234,2023-04-02,2374,Rasmussen Inc Garage,Massive Data,10433,87-316-270
2000235,2023-06-23,1764,Rowland LLC Garage,Massive Data,10258,18-476-12
2000236,2025-06-24,1252,Palmer Howell and Perez Garage,Massive Data,10293,15-439-31
2000237,2025-05-08,4571,Harrison Brown and Dalton Garage,Massive Data,10210,70-227-73
2000238,2023-11-21,416,Clark-Hernandez Garage,Massive Data,10073,15-404-470
2000239,2024-12-21,249,Watson-Barry Garage,Massive Data,10396,33-518-102
2000240,2025-07-03,1593,Mccormick Horton and Keller Garage,Massive Data,10476,35-299-493
2000241,2024-02-06,2158,Perkins Robertson and Lynch Garage,Massive Data,10169,64-697-29
2000242,2023-12-30,1814,Webb Rodriguez and Burton Garage,Massive Data,10249,68-397-315
2000243,2024-06-25,1963,Taylor-Morgan Garage,Massive Data,10127,75-412-136
2000244,2025-04-24,4092,Morris Inc Garage,Massive Data,10328,48-232-08
2000245,2024-03-03,2419,Keith Wilson and Hamilton Garage,Massive Data,10386,73-726-242
2000246,2023-07-13,2455,Payne PLC Garage,Massive Data,10241,93-176-215
2000247,2024-04-15,4725,Hancock PLC Garage,Massive Data,10011,61-549-141
2000248,2025-02-28,165,Miller Casey and Barajas Garage,Massive Data,10003,43-651-356
2000249,2024-10-21,1157,Gordon Group Garage,Massive Data,10371,65-662-275
2000250,2026-03-09,3925,Grant-Valentine Garage,Massive Data,10404,87-577-502
2000251,2023-11-05,3359,Perez Ltd Garage,Massive Data,10353,21-735-504
2000252,2023-12-29,4679,Thompson PLC Garage,Massive Data,10034,91-911-188
2000253,2024-07-27,2011,Bryan Compton and Wilkins Garage,Massive Data,10162,46-189-452
2000254,2024-08-01,2787,Jones Ltd Garage,Massive Data,10051,71-959-88
2000255,2023-08-26,4039,Snyder Smith and Luna Garage,Massive Data,10274,21-807-25
2000256,2025-12-18,4485,Ortega Ford and Oneill Garage,Massive Data,10466,23-324-32
2000257,2025-10-16,3086,Ruiz Rodriguez and Campbell Garage,Massive Data,10431,18-621-143
2000258,2023-11-18,2921,Mitchell Group Garage,Massive Data,10430,98-278-255
2000259,2025-07-17,1549,Johnson Murray and Arroyo Garage,Massive Data,10328,12-449-246
2000260,2024-06-24,4562,Wood Johnson and Holt Garage,Massive Data,10047,52-577-239
2000261,2024-08-20,190,Schneider PLC Garage,Massive Data,10105,29-883-341
2000262,2026-03-05,4334,Patterson Inc Garage,Massive Data,10190,31-176-185
2000263,2025-06-23,1634,Fox-Garza Garage,Massive Data,10397,23-709-486
2000264,2024-11-16,544,Brown-Fisher Garage,Massive Data,10155,60-386-256
2000265,2024-12-18,3586,Cabrera-Hardin Garage,Massive Data,10086,60-126-221
2000266,2023-03-25,4680,Randall Inc Garage,Massive Data,10468,80-232-191
2000267,2024-11-04,283,Bennett-Patel Garage,Massive Data,10276,87-818-208
2000268,2023-06-05,1240,Spencer PLC Garage,Massive Data,10269,29-864-430
2000269,2025-05-08,2536,Drake Rose and Lane Garage,Massive Data,10330,76-806-204
2000270,2023-05-18,4408,Case Inc Garage,Massive Data,10355,81-847-440
2000271,2024-03-06,4103,Scott Flores and Frye Garage,Massive Data,10033,16-515-28
2000272,2025-08-08,3473,Lester Becker and Casey Garage,Massive Data,10482,93-176-215
2000273,2025-01-17,2273,Flores Inc Garage,Massive Data,10263,91-303-79
2000274,2025-10-05,3264,Moran PLC Garage,Massive Data,10139,20-751-69
2000275,2023-06-10,378,Ramos-Moss Garage,Massive Data,10485,20-663-217
2000276,2025-06-30,4472,Howard Jackson and Walsh Garage,Massive Data,10023,96-763-86
2000277,2024-02-02,3619,Pruitt Morris and Gray Garage,Massive Data,10147,39-657-75
2000278,2024-10-27,4569,Jones-Rivera Garage,Massive Data,10415,31-788-144
2000279,2024-01-05,4565,Sampson Group Garage,Massive Data,10280,45-372-349
2000280,2023-10-09,4751,Curtis-Sanchez Garage,Massive Data,10000,79-674-186
2000281,2026-01-30,2888,Rivera-Martin Garage,Massive Data,10003,26-521-165
2000282,2025-07-09,1483,Bates Phillips and Gomez Garage,Massive Data,10360,21-192-27
2000283,2023-07-09,1691,Stanley and Sons Garage,Massive Data,10194,85-575-351
2000284,2025-09-30,2177,Smith-Johnson Garage,Massive Data,10139,14-499-267
2000285,2026-02-19,1821,Day Cox and Thomas Garage,Massive Data,10475,92-309-457
2000286,2025-11-25,3503,Roberts-Gray Garage,Massive Data,10369,70-227-73
2000287,2023-04-28,2372,Baker Ramirez and Bailey Garage,Massive Data,10055,12-677-145
2000288,2023-05-13,2327,Reynolds Lee and Smith Garage,Massive Data,10490,10-376-289
2000289,2025-07-10,3280,Jackson-Wells Garage,Massive Data,10010,74-207-463
2000290,2024-06-07,361,Meyers Group Garage,Massive Data,10403,89-883-77
2000291,2024-09-10,4293,Morgan and Sons Garage,Massive Data,10467,28-135-280
2000292,2024-04-09,3111,Dixon Cole and Watson Garage,Massive Data,10091,45-996-402
2000293,2023-12-26,3438,Hayes-Mills Garage,Massive Data,10430,81-449-296
2000294,2025-01-14,633,Shields PLC Garage,Massive Data,10107,76-852-94
2000295,2023-06-25,2722,Hernandez-Lamb Garage,Massive Data,10075,57-770-19
2000296,2023-05-07,972,Sanchez Inc Garage,Massive Data,10050,84-971-410
2000297,2025-11-07,3405,Myers-Johnson Garage,Massive Data,10044,26-620-307
2000298,2025-01-27,937,Booker-Barnes Garage,Massive Data,10253,90-537-101
2000299,2025-12-08,1799,Smith Manning and Gay Garage,Massive Data,10233,94-933-18
2000300,2024-08-23,1630,Andrews Group Garage,Massive Data,10038,26-468-58
2000301,2023-11-30,1056,Murphy Group Garage,Massive Data,10366,11-775-331
2000302,2024-09-02,1586,Hartman Harris and Wheeler Garage,Massive Data,10403,67-175-487
2000303,2023-08-13,187,Bowman Williams and Benson Garage,Massive Data,10126,35-299-493
2000304,2024-08-13,1565,Gordon Group Garage,Massive Data,10213,21-212-401
2000305,2024-08-20,1347,Lopez Barnes and Casey Garage,Massive Data,10129,19-423-420
2000306,2026-01-15,3070,Sanders and Sons Garage,Massive Data,10507,26-755-283
2000307,2023-12-01,3580,Davis Ramirez and Jackson Garage,Massive Data,10279,58-487-09
2000308,2025-04-11,1592,Sellers-Castro Garage,Massive Data,10013,63-650-20
2000309,2025-08-24,2401,Quinn Pennington and Hubbard Garage,Massive Data,10169,87-415-300
2000310,2024-11-14,4510,Nelson-Mitchell Garage,Massive Data,10224,52-973-51
2000311,2025-06-18,1164,Hensley-Greene Garage,Massive Data,10073,46-189-452
2000312,2025-04-29,2078,Riley-Moore Garage,Massive Data,10069,80-415-498
2000313,2025-11-01,3585,Gibson and Sons Garage,Massive Data,10122,18-621-143
2000314,2025-02-03,1134,Sanders-Acevedo Garage,Massive Data,10325,90-489-291
2000315,2025-07-19,1958,Rodriguez and Sons Garage,Massive Data,10367,90-489-291
2000316,2023-08-22,1795,Morgan and Sons Garage,Massive Data,10462,68-198-236
2000317,2023-05-13,3932,Bryant-Valdez Garage,Massive Data,10247,47-471-124
2000318,2023-09-04,2503,Singleton-Beasley Garage,Massive Data,10026,20-747-61
2000319,2024-11-06,1802,Welch Gonzales and Torres Garage,Massive Data,10132,94-826-497
2000320,2024-02-06,4401,Frank Solis and Nelson Garage,Massive Data,10026,73-726-242
2000321,2025-05-13,4158,Coleman Inc Garage,Massive Data,10232,23-324-32
2000322,2023-10-12,2957,Hawkins-Sparks Garage,Massive Data,10050,79-394-448
2000323,2024-01-24,262,Reeves Bryant and Gutierrez Garage,Massive Data,10181,31-788-144
2000324,2025-08-28,1543,Preston-Ruiz Garage,Massive Data,10401,75-134-167
2000325,2024-04-30,3309,Glass Ltd Garage,Massive Data,10152,80-348-408
2000326,2023-09-06,3059,Harris PLC Garage,Massive Data,10219,80-505-383
2000327,2024-01-10,1807,Hernandez-Cisneros Garage,Massive Data,10216,49-468-206
2000328,2023-07-24,1789,Webb Smith and Palmer Garage,Massive Data,10347,52-577-239
2000329,2024-01-10,1757,Davidson-Solis Garage,Massive Data,10158,99-887-100
2000330,2025-09-06,2796,Bowen-Clayton Garage,Massive Data,10134,62-999-53
2000331,2023-04-19,1964,Smith Burton and Phillips Garage,Massive Data,10385,23-645-103
2000332,2025-10-07,260,Malone-Steele Garage,Massive Data,10397,46-463-244
