log_id,withdrawal_date,amount_drawn,worker_id,item_code
3000082,2025-08-30,4,10157,ITM-1101
3000083,2026-02-22,3,10407,ITM-1078
3000084,2024-08-16,4,10288,ITM-1066
3000085,2024-10-06,1,10273,ITM-1098
3000086,2025-11-11,1,10328,ITM-1064
3000087,2025-05-14,2,10492,ITM-1090
3000088,2024-10-10,3,10215,ITM-1051
3000089,2024-07-05,5,10431,ITM-1107
3000090,2026-02-15,2,10046,ITM-1025
3000091,2024-08-11,1,10340,ITM-1025
3000092,2025-11-08,4,10268,ITM-1058
3000093,2025-12-17,5,10063,ITM-1008
3000094,2025-01-07,3,10090,ITM-1101
3000095,2025-03-09,3,10480,ITM-1052
3000096,2024-06-15,3,10034,ITM-1071
3000097,2024-07-30,5,10505,ITM-1044
3000098,2024-04-26,1,10270,ITM-1095
3000099,2024-09-18,3,10342,ITM-1077
3000100,2025-04-22,2,10351,ITM-1009
3000101,2026-01-31,4,10001,ITM-1004
3000102,2026-03-04,4,10203,ITM-1103
3000103,2025-02-06,4,10027,ITM-1000
3000104,2025-03-12,2,10267,ITM-1087
3000105,2024-12-25,1,10304,ITM-1053
3000106,2025-04-05,2,10066,ITM-1006
3000107,2025-10-30,1,10179,ITM-1061
3000108,2024-11-02,3,10184,ITM-1010
3000109,2025-04-17,1,10185,ITM-1100
3000110,2025-11-14,2,10030,ITM-1040
3000111,2025-10-28,4,10363,ITM-1074
3000112,2024-10-09,3,10464,ITM-1023
3000113,2024-12-04,5,10427,ITM-1091
3000114,2024-06-19,5,10290,ITM-1059
3000115,2025-12-27,2,10265,ITM-1103
3000116,2024-11-17,1,10498,ITM-1015
3000117,2024-05-02,1,10176,ITM-1091
3000118,2025-07-08,2,10460,ITM-1069
3000119,2026-01-20,3,10057,ITM-1089
3000120,2026-01-06,4,10201,ITM-1061
3000121,2024-08-26,3,10134,ITM-1011
3000122,2024-04-09,1,10097,ITM-1078
3000123,2025-06-13,4,10163,ITM-1095
3000124,2025-11-09,3,10222,ITM-1009
3000125,2025-12-22,4,10317,ITM-1108
3000126,2025-08-09,3,10064,ITM-1020
3000127,2024-05-30,5,10318,ITM-1020
3000128,2025-03-30,1,10316,ITM-1082
3000129,2024-05-27,2,10442,ITM-1081
3000130,2024-08-22,3,10250,ITM-1109
3000131,2024-09-07,3,10344,ITM-1010
3000132,2026-02-25,5,10504,ITM-1096
3000133,2025-09-05,2,10399,ITM-1051
3000134,2024-12-21,3,10072,ITM-1065
3000135,2026-02-18,5,10144,ITM-1021
3000136,2025-03-10,4,10139,ITM-1086
3000137,2024-05-13,5,10383,ITM-1062
3000138,2025-06-01,2,10433,ITM-1071
3000139,2025-07-03,4,10151,ITM-1034
3000140,2024-04-09,4,10103,ITM-1036
3000141,2026-01-01,2,10119,ITM-1054
3000142,2025-02-11,5,10445,ITM-1001
3000143,2025-12-21,4,10295,ITM-1042
3000144,2025-12-09,5,10295,ITM-1035
3000145,2025-03-30,3,10223,ITM-1017
3000146,2025-03-31,1,10098,ITM-1049
3000147,2025-07-18,5,10334,ITM-1065
3000148,2024-04-26,4,10261,ITM-1045
3000149,2025-04-26,1,10290,ITM-1048
3000150,2024-09-25,1,10378,ITM-1049
3000151,2025-07-14,4,10101,ITM-1041
3000152,2026-01-31,4,10251,ITM-1060
3000153,2025-06-23,5,10306,ITM-1058
3000154,2025-05-18,4,10477,ITM-1066
3000155,2025-02-27,4,10373,ITM-1098
3000156,2025-06-26,1,10187,ITM-1051
3000157,2024-05-07,2,10486,ITM-1087
3000158,2025-05-12,2,10001,ITM-1102
3000159,2026-01-24,3,10254,ITM-1043
3000160,2024-11-26,1,10238,ITM-1071
3000161,2024-11-05,4,10392,ITM-1015
3000162,2025-02-25,1,10375,ITM-1100
3000163,2025-11-19,2,10352,ITM-1105
3000164,2024-05-07,3,10128,ITM-1062
3000165,2024-12-18,3,10352,ITM-1054
3000166,2025-01-31,5,10446,ITM-1078
3000167,2024-11-26,1,10142,ITM-1053
3000168,2025-05-20,1,10288,ITM-1005
3000169,2025-02-02,1,10221,ITM-1007
3000170,2025-03-25,2,10475,ITM-1042
3000171,2024-09-27,5,10432,ITM-1004
3000172,2025-06-17,4,10256,ITM-1080
3000173,2024-07-22,2,10241,ITM-1088
3000174,2025-01-14,3,10395,ITM-1091
3000175,2025-01-22,1,10027,ITM-1044
3000176,2025-04-20,5,10128,ITM-1006
3000177,2025-04-15,2,10070,ITM-1103
3000178,2025-03-05,2,10435,ITM-1077
3000179,2024-04-16,2,10044,ITM-1105
3000180,2024-11-09,5,10078,ITM-1095
3000181,2024-09-05,2,10158,ITM-1091
3000182,2025-09-05,3,10081,ITM-1070
3000183,2025-12-01,3,10231,ITM-1021
3000184,2024-08-20,3,10405,ITM-1085
3000185,2024-08-17,5,10243,ITM-1092
3000186,2025-11-29,1,10077,ITM-1082
3000187,2025-04-06,4,10206,ITM-1086
3000188,2025-05-18,5,10184,ITM-1078
3000189,2025-03-11,5,10122,ITM-1012
3000190,2025-01-18,2,10269,ITM-1069
3000191,2025-03-06,4,10160,ITM-1101
3000192,2025-11-05,3,10036,ITM-1039
3000193,2025-07-16,5,10193,ITM-1051
3000194,2025-12-31,3,10151,ITM-1018
3000195,2025-02-08,1,10428,ITM-1004
3000196,2025-04-26,3,10008,ITM-1043
3000197,2026-01-09,1,10438,ITM-1058
3000198,2025-04-15,5,10448,ITM-1019
3000199,2025-08-17,1,10055,ITM-1093
3000200,2025-05-08,3,10253,ITM-1085
3000201,2025-12-23,3,10472,ITM-1054
3000202,2024-10-16,3,10343,ITM-1092
3000203,2025-09-11,5,10301,ITM-1006
3000204,2025-09-03,3,10500,ITM-1066
3000205,2025-01-28,2,10468,ITM-1076
3000206,2025-02-13,1,10428,ITM-1086
3000207,2024-10-31,1,10030,ITM-1109
3000208,2024-05-23,4,10426,ITM-1028
3000209,2025-06-26,2,10453,ITM-1020
3000210,2024-11-25,5,10054,ITM-1038
3000211,2024-04-19,4,10378,ITM-1074
3000212,2025-10-13,4,10042,ITM-1040
3000213,2025-01-15,5,10002,ITM-1056
3000214,2025-01-10,1,10117,ITM-1046
3000215,2025-09-24,1,10199,ITM-1058
3000216,2025-04-18,5,10347,ITM-1008
3000217,2024-11-23,2,10503,ITM-1057
3000218,2025-12-21,3,10104,ITM-1059
3000219,2024-05-17,3,10484,ITM-1037
3000220,2026-02-27,3,10363,ITM-1083
3000221,2024-06-02,3,10303,ITM-1100
3000222,2025-08-17,1,10131,ITM-1074
3000223,2025-06-08,5,10062,ITM-1008
3000224,2026-01-31,5,10181,ITM-1021
3000225,2025-04-16,3,10357,ITM-1048
3000226,2024-12-05,1,10476,ITM-1008
3000227,2025-12-02,5,10094,ITM-1062
3000228,2024-04-20,3,10207,ITM-1007
3000229,2025-08-29,5,10078,ITM-1026
3000230,2024-05-03,4,10111,ITM-1105
3000231,2025-08-12,1,10140,ITM-1021
3000232,2024-08-08,2,10391,ITM-1069
3000233,2024-10-01,4,10021,ITM-1002
3000234,2024-04-25,3,10023,ITM-1005
3000235,2025-05-14,1,10077,ITM-1080
3000236,2026-01-30,3,10483,ITM-1038
3000237,2025-02-10,3,10029,ITM-1011
3000238,2025-06-10,4,10491,ITM-1093
3000239,2024-08-07,4,10048,ITM-1017
3000240,2025-06-20,5,10013,ITM-1101
3000241,2024-09-29,1,10452,ITM-1035
3000242,2024-04-15,5,10067,ITM-1097
3000243,2024-09-14,1,10183,ITM-1056
3000244,2025-08-22,3,10495,ITM-1101
3000245,2024-12-13,4,10001,ITM-1030
3000246,2024-04-19,1,10052,ITM-1065
3000247,2024-03-22,4,10004,ITM-1089
3000248,2025-02-06,5,10409,ITM-1046
3000249,2025-09-04,2,10464,ITM-1105
3000250,2025-09-11,5,10120,ITM-1089
3000251,2025-08-06,4,10318,ITM-1009
3000252,2024-06-19,4,10035,ITM-1059
3000253,2024-03-29,2,10047,ITM-1099
3000254,2025-12-30,4,10231,ITM-1012
3000255,2025-04-13,1,10228,ITM-1063
3000256,2024-11-23,1,10153,ITM-1087
3000257,2024-12-03,5,10290,ITM-1053
3000258,2024-11-19,4,10494,ITM-1091
3000259,2025-08-01,5,10039,ITM-1073
3000260,2024-09-07,4,10198,ITM-1093
3000261,2025-05-15,5,10156,ITM-1012
3000262,2025-10-25,1,10496,ITM-1077
3000263,2025-08-29,3,10465,ITM-1046
3000264,2025-05-29,2,10052,ITM-1019
3000265,2024-11-12,3,10221,ITM-1074
3000266,2024-10-13,4,10370,ITM-1009
3000267,2024-08-25,3,10098,ITM-1086
3000268,2024-05-23,5,10160,ITM-1084
3000269,2025-12-19,4,10149,ITM-1056
3000270,2024-07-02,2,10306,ITM-1072
3000271,2025-09-21,2,10343,ITM-1060
3000272,2025-12-20,1,10159,ITM-1062
3000273,2026-01-06,3,10217,ITM-1087
3000274,2025-05-18,4,10230,ITM-1038
3000275,2024-04-21,3,10198,ITM-1050
3000276,2024-06-06,4,10026,ITM-1076
3000277,2024-10-06,2,10253,ITM-1058
3000278,2025-07-11,1,10015,ITM-1055
3000279,2024-08-19,4,10366,ITM-1048
3000280,2025-01-02,1,10282,ITM-1090
3000281,2025-12-03,5,10315,ITM-1100
3000282,2025-07-13,3,10388,ITM-1041
3000283,2025-04-02,2,10127,ITM-1035
3000284,2025-01-14,1,10438,ITM-1036
3000285,2026-01-17,2,10479,ITM-1097
3000286,2024-07-19,3,10172,ITM-1054
3000287,2025-05-25,5,10223,ITM-1020
3000288,2025-10-01,3,10205,ITM-1044
3000289,2026-03-11,4,10378,ITM-1092
3000290,2025-07-26,3,10016,ITM-1072
3000291,2024-07-10,1,10111,ITM-1012
3000292,2024-12-06,5,10011,ITM-1051
3000293,2025-11-13,2,10082,ITM-1096
3000294,2026-02-23,2,10312,ITM-1061
3000295,2025-10-09,3,10171,ITM-1094
3000296,2025-09-02,4,10412,ITM-1042
3000297,2025-12-08,4,10457,ITM-1033
3000298,2024-12-11,2,10178,ITM-1073
3000299,2024-09-11,4,10056,ITM-1023
3000300,2025-03-30,1,10209,ITM-1065
3000301,2024-12-28,3,10271,ITM-1020
3000302,2024-05-17,3,10138,ITM-1046
3000303,2024-04-09,5,10399,ITM-1063
3000304,2024-12-29,2,10422,ITM-1106
3000305,2025-12-30,5,10501,ITM-1021
3000306,2024-12-20,4,10306,ITM-1036
3000307,2025-05-29,5,10271,ITM-1003
3000308,2024-08-11,2,10107,ITM-1079
3000309,2024-09-25,2,10207,ITM-1076
3000310,2025-03-11,1,10369,ITM-1061
3000311,2025-10-25,5,10168,ITM-1065
3000312,2024-05-30,2,10332,ITM-1042
3000313,2024-06-27,3,10117,ITM-1052
3000314,2025-04-24,4,10103,ITM-1021
3000315,2024-03-19,1,10078,ITM-1082
3000316,2024-09-13,1,10002,ITM-1102
3000317,2026-01-17,3,10319,ITM-1031
3000318,2025-11-13,5,10474,ITM-1003
3000319,2025-12-20,3,10240,ITM-1026
3000320,2024-07-27,3,10170,ITM-1043
3000321,2025-02-15,2,10037,ITM-1011
3000322,2024-10-20,2,10216,ITM-1028
3000323,2025-11-04,1,10142,ITM-1059
3000324,2026-02-25,5,10491,ITM-1027
3000325,2025-06-26,1,10016,ITM-1047
3000326,2025-03-03,1,10177,ITM-1092
3000327,2025-03-19,5,10436,ITM-1077
3000328,2025-07-23,4,10506,ITM-1074
3000329,2026-02-14,1,10264,ITM-1020
3000330,2025-02-01,1,10196,ITM-1103
3000331,2025-12-10,3,10303,ITM-1088
3000332,2026-02-24,3,10404,ITM-1029
3000333,2024-12-22,1,10464,ITM-1081
3000334,2024-05-01,1,10380,ITM-1061
3000335,2024-08-11,2,10245,ITM-1015
3000336,2025-01-15,3,10360,ITM-1001
3000337,2025-01-03,2,10435,ITM-1050
3000338,2025-12-28,1,10114,ITM-1074
3000339,2024-04-03,2,10349,ITM-1109
3000340,2025-03-06,2,10082,ITM-1073
3000341,2024-07-23,3,10205,ITM-1084
3000342,2024-09-29,1,10173,ITM-1046
3000343,2026-02-22,1,10399,ITM-1079
3000344,2025-01-24,4,10402,ITM-1048
3000345,2025-09-16,5,10386,ITM-1069
3000346,2024-04-14,2,10340,ITM-1060
3000347,2026-02-04,1,10339,ITM-1066
3000348,2024-08-19,4,10081,ITM-1053
3000349,2025-07-20,5,10505,ITM-1014
3000350,2025-10-13,4,10458,ITM-1021
3000351,2025-07-18,1,10214,ITM-1043
3000352,2024-11-10,4,10234,ITM-1044
3000353,2025-04-11,2,10017,ITM-1001
3000354,2025-05-26,1,10350,ITM-1020
3000355,2025-06-04,3,10158,ITM-1045
3000356,2025-11-04,5,10287,ITM-1003
3000357,2025-09-28,3,10136,ITM-1097
3000358,2025-10-26,3,10473,ITM-1035
3000359,2024-12-25,4,10491,ITM-1037
3000360,2025-04-24,1,10050,ITM-1109
3000361,2025-10-19,3,10359,ITM-1102
3000362,2025-09-27,1,10369,ITM-1002
3000363,2025-12-07,2,10363,ITM-1106
3000364,2025-01-28,2,10200,ITM-1020
3000365,2025-12-25,1,10471,ITM-1109
3000366,2025-03-04,5,10469,ITM-1072
3000367,2025-09-29,5,10335,ITM-1102
3000368,2025-09-12,5,10216,ITM-1062
3000369,2025-05-16,2,10202,ITM-1018
3000370,2024-10-14,5,10409,ITM-1097
3000371,2024-06-22,3,10080,ITM-1053
3000372,2025-03-24,4,10298,ITM-1105
3000373,2026-03-15,4,10190,ITM-1058
3000374,2024-05-26,2,10074,ITM-1074
3000375,2025-09-10,5,10269,ITM-1061
3000376,2025-05-24,4,10427,ITM-1027
3000377,2025-12-19,2,10328,ITM-1097
3000378,2024-07-19,3,10458,ITM-1000
3000379,2025-07-17,2,10055,ITM-1045
3000380,2026-01-29,2,10447,ITM-1043
3000381,2026-03-17,4,10397,ITM-1055
3000382,2025-02-27,2,10184,ITM-1037
3000383,2024-07-23,2,10124,ITM-1020
3000384,2025-10-08,4,10042,ITM-1001
3000385,2025-02-22,1,10135,ITM-1059
3000386,2025-04-02,5,10377,ITM-1072
3000387,2025-03-28,4,10427,ITM-1082
3000388,2025-05-04,4,10465,ITM-1028
3000389,2025-11-11,1,10103,ITM-1010
3000390,2024-11-26,1,10111,ITM-1021
3000391,2025-03-09,3,10129,ITM-1042
3000392,2025-12-23,2,10201,ITM-1055
3000393,2024-11-29,5,10162,ITM-1096
3000394,2024-12-25,2,10133,ITM-1083
3000395,2025-03-04,3,10423,ITM-1036
3000396,2024-12-02,5,10186,ITM-1080
3000397,2025-05-21,3,10085,ITM-1010
3000398,2024-07-19,2,10171,ITM-1100
3000399,2024-08-06,2,10166,ITM-1100
3000400,2025-10-26,1,10084,ITM-1057
3000401,2025-09-03,4,10330,ITM-1014
3000402,2025-11-13,4,10046,ITM-1037
3000403,2024-04-10,5,10030,ITM-1026
3000404,2025-10-06,4,10495,ITM-1101
3000405,2025-07-11,3,10189,ITM-1052
3000406,2024-03-31,5,10309,ITM-1106
3000407,2024-04-10,3,10260,ITM-1085
3000408,2026-02-24,4,10488,ITM-1000
3000409,2024-12-01,2,10365,ITM-1040
3000410,2025-10-09,3,10415,ITM-1085
3000411,2025-04-06,2,10340,ITM-1064
3000412,2025-02-07,5,10295,ITM-1024
3000413,2024-10-22,4,10049,ITM-1036
3000414,2025-03-20,3,10138,ITM-1090
3000415,2025-09-05,5,10159,ITM-1104
3000416,2024-05-02,5,10220,ITM-1056
3000417,2024-05-28,4,10206,ITM-1080
3000418,2025-04-28,3,10390,ITM-1049
3000419,2025-01-30,1,10361,ITM-1108
3000420,2025-09-05,2,10069,ITM-1046
3000421,2026-03-16,2,10395,ITM-1067
3000422,2026-02-02,5,10364,ITM-1032
3000423,2025-01-09,2,10180,ITM-1020
3000424,2024-05-23,4,10214,ITM-1062
3000425,2024-11-04,4,10472,ITM-1099
3000426,2026-01-09,5,10173,ITM-1035
3000427,2025-01-26,3,10322,ITM-1009
3000428,2025-10-24,1,10208,ITM-1038
3000429,2025-01-02,4,10066,ITM-1053
3000430,2025-05-22,4,10383,ITM-1027
3000431,2025-08-25,3,10429,ITM-1007
3000432,2024-04-07,3,10157,ITM-1103
3000433,2024-12-23,1,10128,ITM-1072
3000434,2024-07-27,4,10373,ITM-1107
3000435,2026-01-30,3,10055,ITM-1096
3000436,2024-05-22,2,10392,ITM-1024
3000437,2025-04-17,5,10198,ITM-1046
3000438,2025-08-03,3,10482,ITM-1023
3000439,2024-06-24,2,10079,ITM-1105
3000440,2024-10-17,3,10347,ITM-1027
3000441,2024-06-28,4,10204,ITM-1006
3000442,2024-04-26,2,10035,ITM-1031
3000443,2024-11-12,4,10105,ITM-1070
3000444,2025-09-15,5,10370,ITM-1005
3000445,2025-07-31,3,10068,ITM-1096
3000446,2025-12-14,3,10436,ITM-1075
3000447,2025-12-02,5,10060,ITM-1094
3000448,2025-12-10,5,10392,ITM-1031
3000449,2026-01-27,3,10445,ITM-1105
3000450,2024-11-02,5,10174,ITM-1042
3000451,2025-05-22,5,10192,ITM-1021
3000452,2024-07-07,1,10428,ITM-1033
3000453,2024-07-19,1,10431,ITM-1056
3000454,2025-07-21,5,10098,ITM-1007
3000455,2025-07-15,1,10394,ITM-1004
3000456,2025-03-15,3,10449,ITM-1084
3000457,2025-03-23,5,10423,ITM-1033
3000458,2024-08-18,2,10467,ITM-1069
3000459,2024-06-08,1,10008,ITM-1033
3000460,2025-10-22,2,10158,ITM-1090
3000461,2024-05-02,5,10410,ITM-1056
3000462,2025-07-10,4,10005,ITM-1043
3000463,2024-03-28,3,10202,ITM-1015
3000464,2024-06-13,4,10163,ITM-1057
3000465,2024-09-25,3,10469,ITM-1103
3000466,2026-03-05,4,10317,ITM-1083
3000467,2024-07-28,2,10508,ITM-1027
3000468,2026-01-19,4,10165,ITM-1023
3000469,2024-11-28,3,10062,ITM-1102
3000470,2025-05-29,4,10156,ITM-1014
3000471,2025-06-21,5,10404,ITM-1107
3000472,2025-06-15,1,10312,ITM-1095
3000473,2025-08-24,3,10151,ITM-1037
3000474,2024-04-22,2,10407,ITM-1013
3000475,2025-03-25,4,10477,ITM-1002
3000476,2024-09-07,3,10452,ITM-1066
3000477,2025-10-25,5,10089,ITM-1095
3000478,2025-10-15,2,10247,ITM-1055
3000479,2024-04-28,3,10074,ITM-1031
3000480,2024-09-23,5,10396,ITM-1010
3000481,2024-12-04,4,10302,ITM-1015
3000482,2025-09-13,1,10226,ITM-1054
3000483,2026-02-02,2,10161,ITM-1057
3000484,2025-04-22,4,10330,ITM-1049
3000485,2024-12-31,4,10165,ITM-1085
3000486,2025-11-19,1,10130,ITM-1082
3000487,2024-06-08,3,10342,ITM-1054
3000488,2024-11-27,1,10475,ITM-1041
3000489,2024-08-11,4,10326,ITM-1107
3000490,2025-08-27,4,10121,ITM-1025
3000491,2024-07-24,5,10040,ITM-1060
3000492,2026-01-10,4,10488,ITM-1009
3000493,2024-09-09,5,10492,ITM-1000
3000494,2025-10-20,4,10287,ITM-1006
3000495,2025-02-22,4,10279,ITM-1066
3000496,2025-03-04,5,10196,ITM-1105
3000497,2024-10-15,3,10153,ITM-1045
3000498,2025-05-04,1,10292,ITM-1056
3000499,2026-03-13,1,10136,ITM-1056
3000500,2026-01-29,4,10158,ITM-1048
3000501,2025-05-16,5,10408,ITM-1011
3000502,2024-06-29,2,10092,ITM-1104
3000503,2024-07-24,3,10399,ITM-1095
3000504,2024-04-24,2,10078,ITM-1026
3000505,2024-12-23,3,10393,ITM-1062
3000506,2024-11-27,5,10453,ITM-1030
3000507,2025-02-22,4,10224,ITM-1072
3000508,2025-12-13,3,10021,ITM-1034
3000509,2024-05-24,5,10256,ITM-1082
3000510,2024-03-21,3,10105,ITM-1023
3000511,2025-03-07,1,10008,ITM-1064
3000512,2024-05-19,4,10338,ITM-1054
3000513,2025-09-25,4,10156,ITM-1039
3000514,2024-11-28,2,10169,ITM-1056
3000515,2025-08-09,1,10058,ITM-1106
3000516,2024-07-25,1,10246,ITM-1041
3000517,2024-05-26,1,10483,ITM-1043
3000518,2026-01-30,2,10140,ITM-1015
3000519,2025-01-27,5,10250,ITM-1047
3000520,2025-01-20,2,10007,ITM-1099
3000521,2024-04-13,4,10139,ITM-1041
3000522,2026-02-12,5,10320,ITM-1022
3000523,2024-12-18,3,10508,ITM-1067
3000524,2026-03-08,1,10028,ITM-1011
3000525,2025-11-07,3,10498,ITM-1052
3000526,2024-04-20,4,10070,ITM-1015
3000527,2024-10-29,5,10109,ITM-1003
3000528,2024-09-10,5,10452,ITM-1069
3000529,2025-07-08,4,10082,ITM-1037
3000530,2025-04-17,4,10484,ITM-1056
3000531,2025-09-19,2,10381,ITM-1103
3000532,2025-03-22,1,10329,ITM-1000
3000533,2024-11-17,4,10149,ITM-1015
3000534,2025-04-19,1,10163,ITM-1100
3000535,2025-07-04,4,10242,ITM-1077
3000536,2024-11-26,2,10290,ITM-1015
3000537,2024-09-13,5,10314,ITM-1021
3000538,2026-03-09,4,10234,ITM-1000
3000539,2026-02-06,2,10408,ITM-1061
3000540,2025-08-24,2,10411,ITM-1102
3000541,2024-04-04,5,10249,ITM-1033
3000542,2025-08-28,5,10384,ITM-1104
3000543,2025-07-20,5,10495,ITM-1031
3000544,2025-07-22,3,10321,ITM-1035
3000545,2024-08-04,1,10493,ITM-1010
3000546,2025-04-10,1,10431,ITM-1060
3000547,2024-11-27,1,10490,ITM-1031
3000548,2025-09-30,2,10432,ITM-1096
3000549,2025-08-24,3,10180,ITM-1023
3000550,2026-01-20,2,10425,ITM-1075
3000551,2025-07-15,2,10205,ITM-1060
3000552,2025-07-23,5,10188,ITM-1013
3000553,2024-05-29,3,10163,ITM-1019
3000554,2024-10-30,3,10085,ITM-1062
3000555,2024-12-08,5,10056,ITM-1019
3000556,2026-02-27,4,10325,ITM-1097
3000557,2025-12-06,1,10158,ITM-1029
3000558,2025-12-16,5,10237,ITM-1027
3000559,2024-12-20,3,10203,ITM-1075
3000560,2025-10-17,1,10376,ITM-1083
3000561,2024-08-06,1,10177,ITM-1074
3000562,2025-01-12,2,10318,ITM-1027
3000563,2025-05-26,4,10051,ITM-1067
3000564,2026-02-13,3,10116,ITM-1008
3000565,2024-04-08,3,10245,ITM-1076
3000566,2025-11-16,5,10003,ITM-1026
3000567,2025-04-27,5,10405,ITM-1048
3000568,2025-08-28,2,10256,ITM-1031
3000569,2024-06-15,2,10024,ITM-1102
3000570,2025-04-03,2,10483,ITM-1056
3000571,2024-08-26,3,10360,ITM-1039
3000572,2024-06-12,5,10187,ITM-1035
3000573,2025-01-03,4,10092,ITM-1060
3000574,2024-07-07,3,10469,ITM-1050
3000575,2025-02-27,3,10012,ITM-1096
3000576,2025-07-27,4,10467,ITM-1061
3000577,2026-02-22,1,10312,ITM-1073
3000578,2025-05-13,2,10142,ITM-1012
3000579,2024-12-24,3,10473,ITM-1030
3000580,2024-09-27,5,10267,ITM-1087
3000581,2026-02-01,3,10150,ITM-1059
3000582,2025-08-18,5,10001,ITM-1075
3000583,2025-03-29,1,10143,ITM-1029
3000584,2025-12-27,3,10220,ITM-1057
3000585,2024-06-11,5,10314,ITM-1070
3000586,2026-03-16,4,10146,ITM-1023
3000587,2024-08-08,5,10278,ITM-1039
3000588,2024-11-24,1,10017,ITM-1062
3000589,2025-02-23,3,10470,ITM-1039
3000590,2025-07-08,4,10485,ITM-1082
3000591,2025-07-30,4,10252,ITM-1088
3000592,2024-06-23,1,10423,ITM-1054
3000593,2024-04-10,5,10044,ITM-1003
3000594,2024-09-01,3,10029,ITM-1057
3000595,2025-01-10,1,10022,ITM-1006
3000596,2025-10-06,1,10294,ITM-1105
3000597,2025-12-26,1,10153,ITM-1074
3000598,2025-03-15,1,10387,ITM-1060
3000599,2025-04-25,1,10120,ITM-1025
3000600,2024-04-08,3,10257,ITM-1026
3000601,2024-09-12,4,10274,ITM-1034
3000602,2025-03-01,3,10372,ITM-1070
3000603,2026-02-25,5,10260,ITM-1030
3000604,2025-06-29,1,10315,ITM-1032
3000605,2024-07-27,1,10396,ITM-1064
